Threads,Samples,Mean_Time_ms,Mean_Time_s,Mean_PI,Mean_Steps
1,3,50043.5,50.044,3.14159265382263,4294967295
2,3,28540.3,28.54,3.14159265382263,4294967295
4,3,17974.6,17.975,3.14159265382263,4294967295
8,3,11294.8,11.295,3.14159265382262,4294967295
16,3,11559.3,11.559,3.14159265382263,4294967295
