filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 1348).jpg,1,1000,600,250.95,0.195584,0.133696,0.370656,232.282
cat_1000x600 (Copy 534).jpg,0,1000,600,129.649,0.201728,0.250496,0.409472,110.866
cat_1000x600 (Copy 942).jpg,1,1000,600,138.292,0.19248,0.10544,0.361184,119.592
cat_1000x600 (Copy 2).jpg,1,1000,600,148.777,0.203776,0.153088,0.490752,129.663
cat_1000x600 (Copy 1004).jpg,0,1000,600,159.708,0.203776,0.242464,0.618016,140.623
cat_1000x600 (Copy 1895).jpg,0,1000,600,146.127,0.207808,0.242912,0.52544,127.063
cat_1000x600 (Copy 927).jpg,1,1000,600,167.591,0.197632,0.161024,0.479328,148.648
cat_1000x600 (Copy 750).jpg,0,1000,600,127.498,0.196608,0.196992,0.554912,108.289
cat_1000x600 (Copy 1301).jpg,1,1000,600,169.258,0.190464,0.151552,0.394912,150.176
cat_1000x600 (Copy 343).jpg,0,1000,600,124.46,0.19456,0.261056,0.415488,105.63
cat_1000x600 (Copy 1552).jpg,1,1000,600,155.494,0.190464,0.13296,0.37792,136.934
cat_1000x600 (Copy 1601).jpg,0,1000,600,138.224,0.203776,0.25168,0.406208,119.419
cat_1000x600 (Copy 1966).jpg,1,1000,600,149.671,0.19456,0.124224,0.376736,130.794
cat_1000x600 (Copy 720).jpg,0,1000,600,151.469,0.203776,0.270272,0.425408,132.514
cat_1000x600 (Copy 570).jpg,1,1000,600,279.796,0.194496,0.133376,0.384608,261.261
cat_1000x600 (Copy 1704).jpg,1,1000,600,187.763,0.195584,0.142624,0.491104,168.688
cat_1000x600 (Copy 398).jpg,0,1000,600,248.627,0.206848,0.206496,0.536672,229.352
cat_1000x600 (Copy 141).jpg,0,1000,600,136.946,0.202752,0.250816,0.409024,118.041
cat_1000x600 (Copy 1829).jpg,1,1000,600,191.146,0.198656,0.124224,0.361216,172.313
cat_1000x600 (Copy 1958).jpg,1,1000,600,141.922,0.1944,0.142176,0.381184,123.027
cat_1000x600 (Copy 539).jpg,0,1000,600,329.605,0.203776,0.19696,0.43216,310.421
cat_1000x600 (Copy 95).jpg,0,1000,600,165.589,0.19968,0.251808,0.413376,146.634
cat_1000x600 (Copy 1560).jpg,1,1000,600,212.867,0.196448,0.098752,0.369056,194.313
cat_1000x600 (Copy 1866).jpg,0,1000,600,156.988,0.199808,0.20608,0.536928,137.78
cat_1000x600 (Copy 1379).jpg,1,1000,600,157.566,0.198656,0.124384,0.369856,138.954
cat_1000x600 (Copy 1149).jpg,1,1000,600,124.48,0.198656,0.134176,0.482944,105.295
cat_1000x600 (Copy 1825).jpg,0,1000,600,239.605,0.205664,0.206432,0.633536,220.491
