filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 2079).jpg,0,1000,600,217.933,0.206848,0.242624,0.420352,198.373
cat_1000x600 (Copy 3413).jpg,1,1000,600,217.926,0.202752,0.11488,0.36832,198.201
cat_1000x600 (Copy 873).jpg,1,1000,600,144.793,0.195584,0.105664,0.378688,126.166
cat_1000x600 (Copy 1091).jpg,0,1000,600,199.598,0.205824,0.29744,0.483488,180.661
cat_1000x600 (Copy 3916).jpg,1,1000,600,144.132,0.201664,0.134656,0.510656,124.932
cat_1000x600 (Copy 2541).jpg,0,1000,600,183.544,0.206784,0.243648,0.631904,164.482
cat_1000x600 (Copy 3694).jpg,1,1000,600,151.452,0.19648,0.105344,0.386176,132.985
cat_1000x600 (Copy 2677).jpg,0,1000,600,151.589,0.20672,0.260896,0.43392,132.787
cat_1000x600 (Copy 4885).jpg,1,1000,600,133.746,0.199648,0.124064,0.386944,115.011
cat_1000x600 (Copy 1265).jpg,0,1000,600,145.059,0.202752,0.251808,0.431008,126.218
cat_1000x600 (Copy 3087).jpg,0,1000,600,120.17,0.203776,0.242464,0.465216,101.424
cat_1000x600 (Copy 441).jpg,1,1000,600,340.636,0.19968,0.16992,0.368736,321.939
cat_1000x600 (Copy 886).jpg,0,1000,600,176.216,0.200704,0.242592,0.422816,157.461
cat_1000x600 (Copy 694).jpg,1,1000,600,190.523,0.193536,0.13296,0.349792,171.865
cat_1000x600 (Copy 4205).jpg,0,1000,600,152.802,0.198656,0.197248,0.631328,133.359
cat_1000x600 (Copy 1229).jpg,1,1000,600,153.091,0.198656,0.114944,0.550528,134.15
cat_1000x600 (Copy 3252).jpg,1,1000,600,212.559,0.200704,0.175616,0.547264,193.242
cat_1000x600 (Copy 3347).jpg,0,1000,600,359.185,0.20992,0.206144,0.642208,339.93
cat_1000x600 (Copy 1556).jpg,0,1000,600,139.461,0.203776,0.243072,0.416736,120.7
cat_1000x600 (Copy 2856).jpg,1,1000,600,163.473,0.197632,0.106272,0.350656,144.952
cat_1000x600 (Copy 3844).jpg,0,1000,600,198.442,0.202752,0.278464,0.662272,179.242
cat_1000x600 (Copy 3797).jpg,1,1000,600,256.443,0.201728,0.16128,0.546976,237.344
cat_1000x600 (Copy 1367).jpg,1,1000,600,128.253,0.198688,0.142464,0.360128,109.567
cat_1000x600 (Copy 4726).jpg,0,1000,600,378.46,0.2048,0.242496,0.432544,359.554
cat_1000x600 (Copy 1605).jpg,0,1000,600,185.59,0.201888,0.233376,0.41984,166.857
cat_1000x600 (Copy 2306).jpg,1,1000,600,203.503,0.198528,0.124064,0.375264,184.859
cat_1000x600 (Copy 4914).jpg,1,1000,600,161.541,0.197344,0.133248,0.388416,142.992
cat_1000x600 (Copy 1539).jpg,0,1000,600,449.57,0.206848,0.26944,0.4344,430.622
cat_1000x600 (Copy 4161).jpg,0,1000,600,182.344,0.202752,0.251808,0.431104,163.463
cat_1000x600 (Copy 3967).jpg,1,1000,600,182.488,0.198656,0.133472,0.347936,163.765
cat_1000x600 (Copy 2290).jpg,0,1000,600,149.56,0.206848,0.279584,0.436896,130.645
cat_1000x600 (Copy 1640).jpg,1,1000,600,151.008,0.19456,0.124224,0.351968,132.472
cat_1000x600 (Copy 2172).jpg,1,1000,600,155.526,0.198656,0.105568,0.357728,136.944
cat_1000x600 (Copy 4938).jpg,0,1000,600,178.338,0.206848,0.261056,0.442752,159.561
cat_1000x600 (Copy 4082).jpg,0,1000,600,160.282,0.207872,0.197792,0.560032,141.121
cat_1000x600 (Copy 3403).jpg,1,1000,600,192.912,0.201728,0.170048,0.480384,173.821
cat_1000x600 (Copy 221).jpg,1,1000,600,232.4,0.195584,0.15184,0.482848,213.537
cat_1000x600 (Copy 1559).jpg,0,1000,600,232.712,0.208896,0.2064,0.55632,213.588
cat_1000x600 (Copy 1477).jpg,1,1000,600,180.516,0.195584,0.105376,0.35216,162.042
cat_1000x600 (Copy 1113).jpg,0,1000,600,181.564,0.20576,0.242432,0.43648,162.802
cat_1000x600 (Copy 75).jpg,1,1000,600,180.926,0.196544,0.12416,0.3576,162.352
cat_1000x600 (Copy 3417).jpg,0,1000,600,188.627,0.206848,0.261056,0.436864,169.771
cat_1000x600 (Copy 1288).jpg,1,1000,600,232.835,0.19968,0.133408,0.373472,214.145
cat_1000x600 (Copy 2841).jpg,0,1000,600,233.239,0.2048,0.242528,0.431488,214.472
cat_1000x600 (Copy 2538).jpg,0,1000,600,198.876,0.200704,0.25184,0.426656,179.979
cat_1000x600 (Copy 511).jpg,1,1000,600,198.905,0.19344,0.099008,0.370272,180.405
cat_1000x600 (Copy 4515).jpg,0,1000,600,129.892,0.202752,0.196992,0.41936,111.06
