filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 2701).jpg,0,1000,600,166.478,0.072704,0.205696,0.444256,144.086
cat_1000x600 (Copy 4887).jpg,0,1000,600,169.307,0.073824,0.232256,0.536096,147.305
cat_1000x600 (Copy 1911).jpg,0,1000,600,1590.83,0.07168,0.251968,0.415072,1569.3
cat_1000x600 (Copy 1167).jpg,0,1000,600,443.726,0.073728,0.21552,0.603584,423.716
cat_1000x600 (Copy 2228).jpg,0,1000,600,508.342,0.073824,0.2416,0.531232,487.946
cat_1000x600 (Copy 4439).jpg,0,1000,600,501.833,0.073664,0.216096,0.52752,482.236
cat_1000x600 (Copy 1696).jpg,0,1000,600,584.347,0.073728,0.206304,0.538848,532.708
cat_1000x600 (Copy 700).jpg,0,1000,600,480.405,0.072704,0.232224,0.409056,460.68
cat_1000x600 (Copy 1408).jpg,0,1000,600,129.74,0.073728,0.214496,0.530304,109.956
cat_1000x600 (Copy 2271).jpg,0,1000,600,120.207,0.070656,0.269056,0.429952,101.054
cat_1000x600 (Copy 1012).jpg,0,1000,600,124.889,0.071584,0.232352,0.406144,105.54
cat_1000x600 (Copy 2943).jpg,0,1000,600,311.179,0.073728,0.206304,0.54592,284.098
cat_1000x600 (Copy 494).jpg,0,1000,600,1382.01,0.071584,0.206208,0.557056,1362.64
cat_1000x600 (Copy 2133).jpg,0,1000,600,1102.75,0.074752,0.197696,0.542784,1048.34
cat_1000x600 (Copy 2344).jpg,0,1000,600,269.689,0.073568,0.206208,0.546592,250.08
cat_1000x600 (Copy 1354).jpg,0,1000,600,770.671,0.074592,0.215712,0.550496,733.058
cat_1000x600 (Copy 3526).jpg,0,1000,600,385.822,0.073728,0.215488,0.546688,366.512
cat_1000x600 (Copy 3658).jpg,0,1000,600,558.575,0.072512,0.206368,0.616064,539.174
cat_1000x600 (Copy 2876).jpg,0,1000,600,612.781,0.073728,0.232544,0.53504,593.376
cat_1000x600 (Copy 2798).jpg,0,1000,600,143.512,0.072704,0.190048,0.417728,124.336
cat_1000x600 (Copy 4733).jpg,0,1000,600,523.431,0.072704,0.205536,0.558304,504.007
cat_1000x600 (Copy 1834).jpg,0,1000,600,463.314,0.073728,0.214848,0.56032,443.756
cat_1000x600 (Copy 1259).jpg,0,1000,600,209.28,0.074624,0.206304,0.618144,189.774
cat_1000x600 (Copy 1001).jpg,0,1000,600,310.913,0.070656,0.2064,0.561728,291.4
cat_1000x600 (Copy 3505).jpg,0,1000,600,674.663,0.072704,0.26064,0.555168,655.219
cat_1000x600 (Copy 2165).jpg,0,1000,600,324.034,0.073728,0.206432,0.561728,304.589
cat_1000x600 (Copy 824).jpg,0,1000,600,138.807,0.073728,0.206304,0.660896,119.159
cat_1000x600 (Copy 558).jpg,0,1000,600,588.164,0.072704,0.190144,0.435456,524.745
cat_1000x600 (Copy 4650).jpg,0,1000,600,400.989,0.074752,0.197056,0.618944,381.368
cat_1000x600 (Copy 4354).jpg,0,1000,600,311.988,0.070656,0.19712,0.542592,292.506
cat_1000x600 (Copy 2940).jpg,0,1000,600,574.994,0.074592,0.20624,0.574304,511.139
cat_1000x600 (Copy 2885).jpg,0,1000,600,595.237,0.073728,0.197088,0.561344,575.813
cat_1000x600 (Copy 3839).jpg,0,1000,600,125.541,0.072704,0.197024,0.564576,106.029
cat_1000x600 (Copy 2987).jpg,0,1000,600,303.468,0.073728,0.22448,0.53152,283.958
cat_1000x600 (Copy 4591).jpg,0,1000,600,1017.89,0.073728,0.215456,0.563648,998.526
cat_1000x600 (Copy 4553).jpg,0,1000,600,297.877,0.074752,0.250688,0.545824,278.578
cat_1000x600 (Copy 1643).jpg,0,1000,600,675.324,0.073728,0.197056,0.564192,639.888
cat_1000x600 (Copy 1489).jpg,0,1000,600,344.455,0.073664,0.215552,0.551328,325.035
cat_1000x600 (Copy 3790).jpg,0,1000,600,313.574,0.077664,0.197696,0.439008,291.408
cat_1000x600 (Copy 4445).jpg,0,1000,600,666.711,0.073728,0.206336,0.560224,647.342
cat_1000x600 (Copy 4088).jpg,0,1000,600,196.525,0.072704,0.242208,0.550784,177.147
cat_1000x600 (Copy 1821).jpg,0,1000,600,339.42,0.072704,0.20576,0.435552,320.171
cat_1000x600 (Copy 4305).jpg,0,1000,600,1381.87,0.073728,0.19712,0.565376,1327.86
cat_1000x600 (Copy 2928).jpg,0,1000,600,2322.23,0.074752,0.206944,0.559552,2258.64
cat_1000x600 (Copy 4626).jpg,0,1000,600,1375.24,0.074752,0.197664,0.562176,1294.27
cat_1000x600 (Copy 3774).jpg,0,1000,600,1469.09,0.0728,0.20704,0.559552,1405.21
cat_1000x600 (Copy 4854).jpg,0,1000,600,560.921,0.0768,0.20688,0.4192,541.413
cat_1000x600 (Copy 1482).jpg,0,1000,600,723.391,0.073728,0.206336,0.613984,703.755
cat_1000x600 (Copy 391).jpg,0,1000,600,177.03,0.074624,0.206304,0.60816,157.504
cat_1000x600 (Copy 2222).jpg,0,1000,600,571.398,0.074688,0.23264,0.531712,502.939
cat_1000x600 (Copy 4357).jpg,0,1000,600,903.402,0.074752,0.214784,0.55248,884.047
cat_1000x600 (Copy 3756).jpg,0,1000,600,570.521,0.07168,0.232256,0.403488,551.382
cat_1000x600 (Copy 4307).jpg,0,1000,600,606.473,0.074752,0.206624,0.562592,587.029
cat_1000x600 (Copy 841).jpg,0,1000,600,177.426,0.074752,0.214784,0.561472,157.914
cat_1000x600 (Copy 4589).jpg,0,1000,600,618.88,0.07168,0.242176,0.427136,599.581
cat_1000x600 (Copy 4042).jpg,0,1000,600,317.517,0.074752,0.20624,0.560736,297.958
cat_1000x600 (Copy 44).jpg,0,1000,600,220.555,0.074752,0.224672,0.551136,201.038
cat_1000x600 (Copy 4211).jpg,0,1000,600,271.206,0.074752,0.206432,0.445088,251.877
cat_1000x600 (Copy 4702).jpg,0,1000,600,826.434,0.072704,0.206624,0.56336,806.931
cat_1000x600 (Copy 1929).jpg,0,1000,600,159.411,0.072704,0.20624,0.583872,140.007
cat_1000x600 (Copy 2447).jpg,0,1000,600,123.785,0.073728,0.214816,0.485024,104.29
cat_1000x600 (Copy 1239).jpg,0,1000,600,922.496,0.074752,0.241472,0.528384,868.486
cat_1000x600 (Copy 181).jpg,0,1000,600,212.17,0.072672,0.233856,0.545696,192.702
cat_1000x600 (Copy 319).jpg,0,1000,600,529.378,0.072704,0.24176,0.426688,510.359
cat_1000x600 (Copy 1258).jpg,0,1000,600,475.359,0.075808,0.23392,0.550976,455.903
cat_1000x600 (Copy 2404).jpg,0,1000,600,134.98,0.08192,0.214816,0.54256,115.623
cat_1000x600 (Copy 823).jpg,0,1000,600,121.798,0.073728,0.241568,0.534944,102.526
cat_1000x600 (Copy 4451).jpg,0,1000,600,782.315,0.080736,0.233664,0.511616,752.175
cat_1000x600 (Copy 234).jpg,0,1000,600,430.437,0.073888,0.206272,0.5384,408.901
cat_1000x600 (Copy 3152).jpg,0,1000,600,242.988,0.07168,0.241472,0.407488,221.302
cat_1000x600 (Copy 1109).jpg,0,1000,600,489.367,0.074752,0.241472,0.539168,466.919
cat_1000x600 (Copy 4829).jpg,0,1000,600,808.832,0.072704,0.259872,0.412608,787.158
cat_1000x600 (Copy 3901).jpg,0,1000,600,176.542,0.07168,0.23296,0.407104,155.276
cat_1000x600 (Copy 3952).jpg,0,1000,600,1463.72,0.072704,0.19664,0.415776,1442.31
cat_1000x600 (Copy 1005).jpg,0,1000,600,595.493,0.074752,0.197664,0.645728,574.03
cat_1000x600 (Copy 2144).jpg,0,1000,600,1848.23,0.072704,0.242624,0.408128,1826.66
cat_1000x600 (Copy 2814).jpg,0,1000,600,400.213,0.074752,0.206144,0.531808,378.355
